SensorA = target
SensorB = available
{bandsB; cwlsB; beta_hat} = bands, centre wavelengths, and coefficients in comma-delimited form
*) band numbers start counting at zero
**) centre wavelengths are expressed in nm
***) first coefficient listed is the constant

sensorA;bandA;cwlA;sensorB;{bandsB};{cwlsB};{beta_hat};AIC;var_y_given_X
aqua;4;1241.49758039;sentinel2;0,1,2,3,4,5,6,7,8,9,10,11,12;443.929444843,496.541069687,560.006374949,664.4491622,703.886978943,740.223452517,782.473511978,835.110186795,864.80125832,945.027529483,1373.46188255,1613.65940666,2202.36668717;0.0252034208702,-0.0275682788594,0.152400716235,-0.197035793521,-0.129772162092,0.0232600998271,0.124409886203,3.25861352218,-7.50947135441,3.43798738503,1.32751938133,-0.0208842709854,0.773909632108,-0.313135957405;-840.86003522;7.26824148258e-05
aqua;4;1241.49758039;vgt;0,1,2,3;459.52,662.04,834.709418838,1649.64071856;0.0189617270372,-0.140647252458,-0.204116210107,0.509631049878,0.706831745349;-621.090112025;0.000486997433958
aqua;5;1628.08776832;terra;2,3,0,1,4,5,6;465.742398799,553.736229817,646.295673296,856.47984028,1242.16286011,1629.40788053,2114.21403827;-0.000129140243605,0.000436458281432,-0.000777459824712,0.00143099173681,-0.000266789432753,-2.7741387062e-05,0.997759673382,0.00178460849998;-2018.51957316;6.47907947468e-09
aqua;5;1628.08776832;meris;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14;412.433615778,442.302283223,489.626577523,509.564329959,559.440262161,619.349162711,664.322430724,680.571670334,708.080139841,753.123045597,760.007913967,778.160657513,864.627349057,884.697163697,899.753104609;0.0267686819322,2.8283474945,-4.27998937781,5.6046394607,-3.4250764504,-1.19617964063,2.25391427361,-9.20913257377,8.1800787085,0.427158832345,-0.0882001874295,2.02476589204,2.1531883052,-41.7197912906,44.86000151,-6.91226998976;-532.476339587;0.000829786993478
aqua;5;1628.08776832;sentinel2;0,1,2,3,4,5,6,7,8,9,10,11,12;443.929444843,496.541069687,560.006374949,664.4491622,703.886978943,740.223452517,782.473511978,835.110186795,864.80125832,945.027529483,1373.46188255,1613.65940666,2202.36668717;0.00170038290413,-0.127389831683,0.135681472801,-0.0232622964423,-0.00277146951296,-0.0177499440062,0.0254256854452,0.314547286979,-1.0609907935,0.740163458762,-0.00346784553654,0.0089552925129,1.00792026222,-0.010240514273;-1355.73818148;1.181842071e-06
aqua;5;1628.08776832;vgt;0,1,2,3;459.52,662.04,834.709418838,1649.64071856;0.00223017900392,-0.01406692116,0.0183061427701,-0.00796058058132,0.996182133518;-1321.45801093;1.79555768691e-06
aqua;6;2113.99922695;terra;2,3,0,1,4,5,6;465.742398799,553.736229817,646.295673296,856.47984028,1242.16286011,1629.40788053,2114.21403827;7.5918414062e-06,0.000143239068803,-0.000424429846443,0.000337905648433,-8.29673143096e-05,0.000118981065268,-0.000426365849377,1.00034048826;-2425.79935484;2.4916005208e-10
aqua;6;2113.99922695;meris;0,1,2,3,4,5,6,7,8,9,10,11,12,13;412.433615778,442.302283223,489.626577523,509.564329959,559.440262161,619.349162711,664.322430724,680.571670334,708.080139841,753.123045597,760.007913967,778.160657513,864.627349057,884.697163697;0.0405796379804,2.71103640129,-2.74477527522,4.87176888831,-4.03198458536,-1.58878634637,4.58517805869,-17.7169528686,14.8273657642,0.398327579915,-0.268618640241,-0.816121712711,5.77548831617,-30.1971729108,25.5600873518;-497.749208137;0.00111319115615
aqua;6;2113.99922695;sentinel2;0,1,2,3,4,5,6,7,8,9,10,11,12;443.929444843,496.541069687,560.006374949,664.4491622,703.886978943,740.223452517,782.473511978,835.110186795,864.80125832,945.027529483,1373.46188255,1613.65940666,2202.36668717;0.006874033897,-0.379330254198,0.447158023323,-0.297532993612,0.0595290355108,0.103944504796,-0.0640520441331,1.69603988929,-4.3579811766,2.83047986763,-0.137979804722,-0.00721064185751,-0.0929419164879,1.14016984066;-891.460127853;4.84871457804e-05
aqua;6;2113.99922695;vgt;0,1,2,3;459.52,662.04,834.709418838,1649.64071856;0.00940645353321,0.0561592198273,0.141882539345,-0.233085640802,0.8228960574;-584.523548049;0.000652487097982
